traditional Mushroom Gain,,,,,,,,,,train time,train acc,train prec ,train recall,train eval time,test acc,test prec,test recall,test eval time,,,traditional,gain ratio
132,1,1,1,10,1,1,1,4,,121.4,1,1,1,10,1,1,1,3.8,,Mushroom,1,1
129,1,1,1,9,1,1,1,5,,8.593020424,0,0,0,1.095445115,0,0,0,0.979795897,,house,0.895522388,0.910447761
108,1,1,1,10,1,1,1,4,,,,,,,,,,,,monks-1,1,1
117,1,1,1,12,1,1,1,4,,,,,,,,,,,,monks-2,1,1
121,1,1,1,9,1,1,1,2,,,,,,,,,,,,monks-3,1,1
traditional house Gain,,,,,,,,,,,,,,,,,,,,,,
17,1,1,1,2,0.895522388,0.86746988,0.96,1,,15.6,1,1,1,3,0.895522388,0.86746988,0.96,0.6,,,,
14,1,1,1,3,0.895522388,0.86746988,0.96,1,,1.019803903,0,0,0,0.632455532,1.11022E-16,1.11022E-16,0,0.489897949,,,,
15,1,1,1,4,0.895522388,0.86746988,0.96,0,,,,,,,,,,,,,,
16,1,1,1,3,0.895522388,0.86746988,0.96,0,,,,,,,,,,,,,,
16,1,1,1,3,0.895522388,0.86746988,0.96,1,,,,,,,,,,,,,,
traditional monks-1 Gain,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,2,1,1,1,1,,1,1,1,1,2.8,1,1,1,0.8,,,,
1,1,1,1,3,1,1,1,0,,0,0,0,0,0.748331477,0,0,0,0.4,,,,
1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,
traditional monks-2 Gain,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,2,1,1,1,1,,1.6,1,1,1,3.2,1,1,1,1,,,,
1,1,1,1,4,1,1,1,1,,0.489897949,0,0,0,0.748331477,0,0,0,0,,,,
2,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,
2,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,
traditional monks-3 Gain,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,3,1,1,1,1,,1.4,1,1,1,3,1,1,1,0.8,,,,
2,1,1,1,4,1,1,1,1,,0.489897949,0,0,0,0.632455532,0,0,0,0.4,,,,
1,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,3,1,1,1,0,,,,,,,,,,,,,,
1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,
monks-3 Ratio,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,4,1,1,1,0,,2,1,1,1,3.6,1,1,1,0,,,,
2,1,1,1,3,1,1,1,0,,0,0,0,0,0.8,0,0,0,0,,,,
2,1,1,1,3,1,1,1,0,,,,,,,,,,,,,,
2,1,1,1,3,1,1,1,0,,,,,,,,,,,,,,
2,1,1,1,5,1,1,1,0,,,,,,,,,,,,,,
monks-2 Ratio,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,4,1,1,1,1,,1.8,1,1,1,3.4,1,1,1,0.6,,,,
1,1,1,1,3,1,1,1,1,,0.748331477,0,0,0,0.489897949,0,0,0,0.489897949,,,,
3,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,
2,1,1,1,3,1,1,1,0,,,,,,,,,,,,,,
2,1,1,1,4,1,1,1,0,,,,,,,,,,,,,,
monks-1 Ratio,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,2,1,1,1,0,,1.8,1,1,1,3,1,1,1,0.6,,,,
2,1,1,1,3,1,1,1,1,,0.4,0,0,0,0.894427191,0,0,0,0.489897949,,,,
2,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,
2,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,
1,1,1,1,4,1,1,1,0,,,,,,,,,,,,,,
Mushroom ratio,,,,,,,,,,,,,,,,,,,,,,
270,1,1,1,22,1,1,1,4,,334.2,1,1,1,20.6,1,1,1,5,,,,
346,1,1,1,21,1,1,1,5,,46.42585487,0,0,0,0.8,0,0,0,0.632455532,,,,
303,1,1,1,20,1,1,1,5,,,,,,,,,,,,,,
344,1,1,1,20,1,1,1,6,,,,,,,,,,,,,,
408,1,1,1,20,1,1,1,5,,,,,,,,,,,,,,
house ratio,,,,,,,,,,,,,,,,,,,,,,
23,1,1,1,5,0.910447761,0.898734177,0.946666667,16,,26.4,1,1,1,5,0.910447761,0.898734177,0.946666667,8.6,,,,
25,1,1,1,5,0.910447761,0.898734177,0.946666667,6,,4.363484846,0,0,0,0.632455532,1.11022E-16,0,0,3.720215048,,,,
24,1,1,1,5,0.910447761,0.898734177,0.946666667,7,,,,,,,,,,,,,,
25,1,1,1,6,0.910447761,0.898734177,0.946666667,7,,,,,,,,,,,,,,
35,1,1,1,4,0.910447761,0.898734177,0.946666667,7,,,,,,,,,,,,,,
